### platform_review_count
platform,review_count
Android,200
iOS,50


### rating_distribution
rating,count
1,88
2,12
3,20
4,25
5,105


### top5_likes
thumbs_up,author,content
461.0,오민,"상세 카테고리가 더 있었으면 좋겠습니다. 1. 개인적으로 1인신조 차량을 선호하기에 1인신조 카테고리 2. 렌트&리스이력이 싫기에 다른 차보다 값싸게 사기 위해 렌트,리스를 선택하거나 저처럼 렌트가 싫은 사람을 위해 렌트,리스가 나오지 않게 하는 렌트&리스 카테고리 이 두가지는 법률검토 진행하더라도 충분한 타당성을 지닐 수 있다 여겨져 건의드립니다."
220.0,KIM케이,"중고차 거래할 때 항상 엔카를 이용하는데, 정말 편하고 믿을 수 있어요. 차량 정보도 상세하게 나와 있고, 사진도 많아서 상태를 쉽게 확인할 수 있어요. 특히 엔카 진단 차량은 신뢰도가 높아서 안심하고 볼 수 있네요. 검색 필터도 다양해서 원하는 조건에 맞춰 차를 찾기 편하고, 딜러분들도 친절하게 응대해 주시는 경우가 많아요. 앱도 직관적이라 초보자도 쉽게 사용할 수 있을 것같아요! 앞으로도 중고차 살 때 엔카만 쓸 것 같네요. 강력 추천합니다!"
146.0,Railroade r,오늘 오전에 앱들어가서 설정하고 차량들은 다 뜨는데...선택해서 들어가면 이미 판매된차량이라 뜹니다... 혹시나 싶어서 여러대 다 터치해봐도 이러는데...혹시 앱 오류아닌가요? (두번을 삭제하고 재설치했습니다....)
139.0,한종혁,하루에도 엔카를 수도 없이 많이 들어갑니다. 그런데 다른 매물을 보려고 뒤로가기를 하면 홈 화면으로 돌아가면서 Sorting방식이 초기화 됩니다. 간헐적 이라기엔 빈도수가 많긴 한데 Session 다중화 방식 중 문제가 있는 것으로 의심되는데 이 점이 해결된다면 엔카라이프가 더 행복해질 것 같네용
51.0,DongHyuk Kim,렌트와 보험 이력 유무도 선택해서 검색할 수 있게 해주세요. 하나하나 선택해서 보려니 신속 정확한 구매가 어렵습니다.


### version_rating_top5
ap_version,mean,count
6.9.2,3.111111111111111,9
6.7.8,3.75,8
6.7.9,3.625,8
7.0.7,4.125,8
6.0.9,1.4285714285714286,7


