### platform_review_count
platform,review_count
Android,200
iOS,50


### rating_distribution
rating,count
1,7
2,1
3,2
4,12
5,228


### top5_likes
thumbs_up,author,content
17.0,소통티비,사실 광고가 하도 많이되어서 반신반의하는 마음으로 차량 판매를 신청했는데 엔카등 다른 사이트보다 다른 사이트보다 훨씬 좋은 가격에 판매할 수 있어서 좋았습니다. 딜러들이 제시한 가격에 맘에 들지 않아서 제가 원하는 금액을 올려서 입찰을 요청을 했더니 며칠뒤 제가 원하는 가격을 받을 수 있었습니다.
5.0,김덕식,중고차 딜러라는 선입관을 일시에 상쇄시킬 좋은 매너.정직한 품성. 그리고 잘생겼읍니다 ㅎ 보통 온갖 이유로 깍으려고하는데 이분의 합리적 설명은 만족했읍니다 고객들도 이분과 거래하면 만족하실것을 의심치 않읍니다
5.0,임효성,"차 두대를 견적을 받아보았지만 항상 최저가네요.타사 비해 너무 차이납니다,,제일 기분 나쁜건 최저가 경매 하시는분들 쩌리인지 먼지 터무니없는 금액을 제시하시는데...다음에는 절대 이 앱을 사용할 일은 없을꺼 같습니다."
2.0,김이광,정말 잘한 선택이었습니다. 너무편안하게 이용해서 결과또한 아주만족합니다. 지인들에게 좋은결과를 소개하면서 반드시 헤이딜러를 이용하라고 전합니다. 정확한진단으로 출발하여 차량인도까지 깔끔처리에 대만족! 헤이 딜러 번창하세요 ^^
1.0,최진,경매 후 딜러방문의 경우 방문 검차시 내용과 실제 금액의 차이가 크게 나타납니다. 평가사를 통한 검차 후 경매를 진행하는게 더 좋겠습니다.


### version_rating_top5
ap_version,mean,count
7.77.0,4.913043478260869,46
7.79.0,4.977777777777778,45
7.78.1,4.948717948717949,39
7.80.0,4.758620689655173,29
7.81.1,4.869565217391305,23


