### platform_review_count
platform,review_count
Android,200
iOS,50


### rating_distribution
rating,count
1,37
2,4
3,7
4,9
5,193


### top5_likes
thumbs_up,author,content
108.0,bliss,"KB차차차 앱은 중고차 매물이 매우 풍부해 원하는 차종과 조건을 쉽게 찾을 수 있습니다. 시세 정보가 상세하고 투명하게 제공되어 가격 비교가 편리하고, 시장 동향 파악에도 큰 도움이 됐습니다. 특히 직거래 프로세스가 간단명료해서 초보자도 부담 없이 이용 가능합니다. 앱 인터페이스는 직관적이고 사용자 친화적이어서 매물 검색과 필터링이 매우 쉬웠습니다. 전반적으로 KB차차차는 중고차 구매를 고려하는 사람들에게 믿고 사용할 수 있는 훌륭한 플랫폼이라고 생각합니다."
97.0,ko ko,동시에 올린 3개의 앱중에 제일 엄청 꼼꼼하게 자세하게 차량 검진을 함 전문적으로 느껴져서 오히려 좋음 근데 하늘에 맹세코 차를 수리하거나 고친적이 전혀 없는데 뒷판이 교체된 흔적이 있다고 그렇게 올림 진짜ㅋㅋ너무 억울하고 당황;신차로 구매해서 3만도 타지않은 차고 타이어 엔진오일 교체 말고 수리를 한 적이 1도 없음; 타 업체 총 3개앱으로 검진해서 올린건데 여기서만 그렇게 판단내리고 가격도 젤 후려쳐짐 아무리 아니라고해도 자기가 보기엔 그래서 어쩔 수 없다고함 ㅋㅋ 진짜 어이가 없음 어차피 본인이 그렇게 검진했다는데 뭐 더이상 거론해봤자 의미도 없고 다른 앱도 올렸으니 그냥 날도 더운데 소모전 할 이유도 없어서 알았다고하고 경매 시작했는데 역시나 가격 후려쳐지고 결국 다른앱에서 판매진행 중이지만 사람하는 일이나 당연히 이런일 저런일 생길수도 있지만 진짜 이건 차가격에 너무 영향을 주는 부분이라 이런 실수가 일어나는건 좀 더 보완책이 필요할 듯
80.0,이경미,"KB차차차 앱 써보고 정말 만족했어요! 중고차 처음 알아보는 입장에선 뭐부터 시작해야 할지 막막했는데, 앱 안에서 차량 정보부터 조건 검색까지 한눈에 보기 쉽게 정리돼 있어서 너무 편하더라고요. 인터페이스도 깔끔하고 직관적이라 헤매지 않고 바로 원하는 차를 찾을 수 있었어요. 특히 KB라는 신뢰감이 있어서 더 안심하고 볼 수 있었고요. 앱 속도가 살짝 느릴 때만 개선되면 정말 완벽할 것 같아요. 저처럼 중고차 처음 알아보는 분들께 강력 추천해요! 부모님이나 친구가 알아본다 해도 전 KB차차차 먼저 알려줄 거예요🚗💛"
74.0,김요셉,"제 차 시세 알아보려고 깔았는데, 너무 쉽고 정확하게 조회되길래 깜짝 놀랬어요. 신차 가격이랑 비교해서 감가 예상 시세까지 알려주니 좋더라구요. 앱 자체도 복잡하지 않고 첨 쓰는 사람도 헤매지 않게 직관적인게 맘에 들었어요. 중고차 거래 생각하시는 분들께 무조건 추천하고 싶어요!"
53.0,윤솔,"KB차차차 앱은 너무 깔끔하고 사용하기 쉬워서 중고차 살 때 진짜 편리해요. 매물도 많고, 사진과 상세정보가 잘 정리되어 있어서 원하는 차량을 금방 찾을 수 있죠. KB진단 매니저가 직접 진단해 무사고 차량만 선별해주고 진단 영상까지 공개해서 신뢰도가 높아요. 시세 조회도 엄청 간편하고, AI 분석 그래프까지 지원해서 감가율도 쉽게 알 수 있습니다. 차량 판매할 때도 여러 딜러에게 견적 한 번에 받을 수 있어서 시간 절약 되고, 관리 기능까지 있어서 정말 추천하고 싶어요!"


### version_rating_top5
ap_version,mean,count
5.2.7,4.125,48
5.3.2,4.548387096774194,31
5.3.7,5.0,14
5.0.2,3.076923076923077,13
5.2.4,4.916666666666667,12


