platform,author,rating,title,content,date,thumbs_up,developer_reply,app_identifier,ap_version
Android,김지훈,5,,"지금까지 엔카에서 판매 한 번 이번까지 구매 2번해봤네요. 미미한 애로사항은 있었으나 신경쓰일 정도는 아니었고 무엇보다 차량 상태가 고지된 바와 동일하게 좋았기에 너무나도 만족합니다. 이번에는 엔카믿고 이용해서 구매했는데, 타보고 최종 결정한다는게 참 매력있네요. 중고차 구매 후 실패확률이 확 줄어듭니다.",2025-11-18 10:48:04,1.0,,com.encar.encarMobileApp,7.4.3
Android,jaram HEO,5,,"엔카는 검증된 매물만 올라와서 믿고 이용할 수 있어요. 매물 종류도 다양해서 선택의 폭이 넓고, 앱도 직관적이라 원하는 차량을 빠르게 찾을 수 있어서 만족합니다. 특히 비교견적 기능으로 판매 시에도 합리적인 가격을 바로 확인할 수 있어 편리하네요.",2025-11-17 12:38:20,0.0,,com.encar.encarMobileApp,5.3.2
Android,당근,1,,휴대전화 인증이 안됩니다... 휴대폰 번호 아무리 입력해도 문자가 안와요,2025-11-16 11:12:15,0.0,,com.encar.encarMobileApp,
Android,이윤희,4,,엔카는내가한번도사용해보지않았지만왠지믿음이가서선태함,2025-11-16 01:53:49,0.0,,com.encar.encarMobileApp,7.4.3
Android,박현근,1,,제일 중요한게 렌트 이력인데 그걸 제일 위에 적어놔야지. 애매하게 중간쯤에 스크롤해야 보이도록 인터페이스를 구성해놓은게 너무 역겹다. 렌트회사에 돈받아 쳐잡수셨나,2025-11-15 03:30:57,1.0,,com.encar.encarMobileApp,7.4.3
iOS,minddung__,5,비교견적 사용 만족,"비교견적 믿고 서비스 이용해봤는데,
앱 안에서 모든 과정이 한눈에 보여서 사용하기 정말 편했어요.
실시간으로 딜러 견적을 확인할 수 있어서 서비스 만족도 높았습니다!",2025-11-13 17:11:34,,,404512755,6.4.7
iOS,ssssssssunshi,5,최대매물,개미지옥 같은 엔카.. 매물이 너무 많아서 넘나 재밌어요..,2025-11-12 21:30:38,,,404512755,6.4.7
Android,Hjjoo Fox,5,,사용중인 차량을 판매하고 원하는 중고차로 구매하기 위해서 비교견적을 받아봤어요. 앱 설치하고 바로 사용하기 편했고 등록 후 견적도 빠른 시간안에 받을 수 있어서 결정하는 데 도움이 되었답니다. 매물도 다양하고 UI도 깔끔해서 구매할 때도 활용하기 좋을 것 같아요.,2025-11-12 11:54:29,1.0,,com.encar.encarMobileApp,7.4.3
iOS,별별어느별,5,만족스런 엔카 리뷰,"믿고 사용할 수 있는 엔카! 
매물도 다양하고, 검색 필터가 세분화돼서 원하는 차량 찾기가 훨씬 수월해졌어요. 이전보다 앱 안전성도 좋아져서 렉이나 로딩 문제 없이 편하게 이용 중입니다 :)",2025-11-12 01:33:17,,,404512755,6.4.7
Android,김남두,2,,다른업체비해 가격차이가 높네요,2025-11-05 13:20:17,0.0,,com.encar.encarMobileApp,7.4.2
