platform,author,rating,title,content,date,thumbs_up,developer_reply,app_identifier,ap_version
Android,임용환,5,,차량 파는것이 막막했는데 처음 해봤는데 믿음이 갑니다,2025-11-16 13:09:51,0.0,,kr.perfectree.heydealer,7.81.1
Android,김인철,5,,믿을수 있는 딜러입니다,2025-11-16 09:16:32,0.0,,kr.perfectree.heydealer,7.81.1
Android,임용수,5,,빠르고 친절하고 정확했습니다.,2025-11-15 10:06:30,0.0,,kr.perfectree.heydealer,7.78.1
Android,두둥,5,,중고차 거래가 이렇게 편한 줄 몰랐어요. 아주 굿,2025-11-15 09:09:58,0.0,,kr.perfectree.heydealer,7.81.1
iOS,노노성,5,세심한 고객관리,"등록부터 판매완료 시까지 세심하게 안내해주심에 감동받았습니다. 
판매직전에 “선그라스, 하이패스카드 ” 챙기라는 안내는 정말 정말 세심함이 느껴졌습니다. 정든차 보내는데 위안이 됐습니다. 번창하세요^^",2025-11-14 22:54:04,,,980166975,
Android,임재민,5,,생각이상 가격으로 판매되어 만족합니다.,2025-11-14 21:07:11,0.0,,kr.perfectree.heydealer,7.81.1
Android,boyoung hyun,5,,간단하면서 편리하고 선택도 자유로워서 좋아요,2025-11-14 20:47:09,0.0,,kr.perfectree.heydealer,7.80.0
Android,이상윤,5,,"한번만 믿고 그냥 해보셔. 오프라인보다 훨씬 좋은가격, 편리함, 상담원의 과할 정도의 친절로 아주 기분 좋은 거래가 될겁니다. 초강강강추천.",2025-11-14 20:08:14,0.0,,kr.perfectree.heydealer,7.81.1
Android,트와이스,5,,중고차 거래는 헤이딜러가 제일 깔끔하고 좋은거 같네요~~,2025-11-14 19:09:59,0.0,,kr.perfectree.heydealer,7.81.1
Android,gyu-hyeok Lee,5,,매우 유용한 앱입니다.. 칭찬합니다.^^,2025-11-14 18:57:05,0.0,,kr.perfectree.heydealer,7.81.1
Android,망곰이,5,,굿,2025-11-14 17:09:31,0.0,,kr.perfectree.heydealer,
Android,DongHun Jung,5,,쉽지않은 중고차 판매를 헤이딜러 덕분에 쉽게 판매했네요.감사합니다.,2025-11-14 16:06:48,0.0,,kr.perfectree.heydealer,7.80.0
Android,김동구,5,,아주 믿음이 갑니다. 믿고 하셔도 될듯합니다.,2025-11-14 14:06:30,0.0,,kr.perfectree.heydealer,7.81.1
Android,김기정,5,,깜끔한 거래입니다 ^^,2025-11-14 13:48:15,0.0,,kr.perfectree.heydealer,7.79.0
Android,신강현,5,,친절하게 정확한 검수로 거래 매우만족합니다,2025-11-14 13:34:08,0.0,,kr.perfectree.heydealer,7.81.1
