platform,author,rating,title,content,date,thumbs_up,developer_reply,app_identifier,ap_version
Android,Mg Kim,1,,회원탈퇴는 안되게 막아놓은건가 탈퇴 페이지만 로딩되면 에러 뜨내 쓰레기앱임,2025-11-26 07:00:24,0.0,"안녕하세요 Mg Kim 고객님. 회원탈퇴 과정에서 불편을 드린 점 진심으로 사과드립니다. 탈퇴 처리는 정상적으로 진행되나, 탈퇴 완료 시 안내 페이지에 에러 현상이 있음을 내부적으로 확인하였습니다. 페이지 에러 현상은 빠르게 조치하여 개선할 예정입니다. 개선 완료 시 재안내 드리겠습니다. 그 밖에 추가 문의 사항은 고객센터(1670-4777)로 언제든지 연락주세요. 남겨주신 의견을 놓치지 않고 확인하여 서비스 개선에 반영할 수 있도록 하겠습니다. 저희 서비스가 부족했던 점을 돌아보고 더 나아진 모습으로 찾아뵙고 싶습니다. 불편 속에서도 소중한 의견 남겨주셔서 감사합니다.",kr.co.kbc.cha.android,5.4.3
Android,육철,5,,실제 구매 하면서 많은 도움이 되었습니다.,2025-11-21 10:17:49,0.0,"안녕하세요 육철 고객님. 차차차를 이용해 주시고, 실제 구매 과정에서 도움이 되었다는 따뜻한 후기까지 남겨주셔서 진심으로 감사드립니다. 차량 구매라는 중요한 선택에 차차차가 힘이 되었다니 기쁜 마음입니다. 더 신뢰할 수 있는 정보와 편리한 기능으로 고객님의 다음 여정에도 함께할 수 있도록 노력하겠습니다! 감사합니다.",kr.co.kbc.cha.android,5.4.3
iOS,-로즈,1,중고차 첫구매라면 비추,"꼼꼼하게 알려주는 상황없고 이로인해피해는 구매자만손해 
불필요한 서류는 주지말길 해당없는 보증서류는 왜줬고 그에대해 나몰라라대처는 아니라고생각함",2025-11-19 03:55:52,,,1112366886,5.2.0
Android,장태봉,3,,사진을 15장 한번에 선택하면 업로드 가안되네요 6장정도 누루면 업로드가 되구요 한번에 업로드되게해주세요,2025-11-12 21:54:45,0.0,"안녕하세요 장태봉 고객님. 광고등록 중 사진 업로드 과정에서 불편을 겪으셨다니 죄송한 마음입니다. 말씀하신 사진 업로드 관련 오류 현상을 내부적으로 확인하였으며, 빠르게 조치하여 개선할 예정입니다. 개선 완료 시 재안내 드리겠습니다. 그 밖에 추가 문의 사항은 고객센터(1670-4777) 혹은 1:1문의함에 의견 남겨주시면 빠르고 정확하게 도움 드리겠습니다. 감사합니다.",kr.co.kbc.cha.android,5.4.3
iOS,MR.jo star,5,감사합니다,감사합니다,2025-11-11 22:14:19,,,1112366886,5.2.0
Android,김승우,5,,너무 좋아요,2025-11-10 06:17:10,0.0,안녕하세요 김승우 고객님. '너무 좋다'라는 짧지만 힘이 되는 말씀 감사합니다. :) KB차차차는 고객님의 믿음에 보답할 수 있도록 최적의 사용성과 편리함을 기반으로 최상의 중고차 거래 경험을 드리기 위해 노력하겠습니다. 감사합니다!,kr.co.kbc.cha.android,
iOS,힝힝리,1,로그인,카카오 아이디 있대서 로그인 연동하려고 해도 안되고 인증도 9번이나 했는데 쓰레기 같은 어플,2025-11-06 18:52:26,,,1112366886,5.1.1
Android,박인규,1,,"폰인증을 완료해도 확인 누르면 사용자 정보가 일치 하지 않는다고 뜸. 어쩌라는 건지 ㅡ,ㅡ 관리 안 함???",2025-11-01 17:38:47,0.0,"안녕하세요 박인규 고객님. KB차차차입니다. 말씀해주신 본인인증 시 사용자 정보 불일치 문제와 관련해, 가입 이력과 인증 정보가 맞지 않을 경우 고객님께서 더 빠르게 문제를 접수하실 수 있도록 안내 문구를 개선하여 25.11.20일 반영 하였습니다. 그동안 앱 이용에 불편을 드린 점 사과드리며, 불편 속에서도 소중한 의견을 주셔서 감사드립니다. 추가로 문의사항이 있으신 경우 고객센터(1670-4777) 혹은 1:1문의함으로 언제든지 접수 부탁드립니다. 앞으로도 더 나은 서비스 제공을 위해 개선해 나가는 KB차차차가 되겠습니다. 감사합니다.",kr.co.kbc.cha.android,
iOS,엘봄,5,잼나요 ㅎㅎ,"이벤트 잼나요 이벤트가 ㅎㅎ
그리고 포인트 쌓는게 잼나네요",2025-10-25 13:17:20,,,1112366886,5.1.0
iOS,bbaekgom7,1,갈수록 거지같아지네,오류투성이에 이젠 앱시작하다 튕겨나가기 시작. 똑바로 안할래?,2025-10-21 03:17:16,,,1112366886,5.1.0
Android,민경오,5,,와 ㅈ,2025-10-16 04:52:31,0.0,안녕하세요 민경오 고객님. 소중한 리뷰 감사드립니다! 다만 작성해주신 내용이 확인되지 않아 구체적인 불편 사항을 파악하기 어려운 점 양해 부탁드립니다. 서비스 이용 중 불편하신 부분이나 문의 사항이 있으시다면 언제든 1:1 문의함 또는 고객센터(1670-4777)로 연락해 주시면 신속히 도와드리겠습니다. 감사합니다!,kr.co.kbc.cha.android,5.2.7
iOS,지아스민,5,믿을만한 KB에서 만든 중고차 거래 플랫폼,"솔직히 다른데는 모르겠고, KB라서 믿을만함",2025-10-15 00:46:58,,,1112366886,5.1.0
Android,김진성,1,,개불편함 KB 관련앱은 다불편함 이걸 쓰라고만든건지궁금함,2025-10-08 14:03:56,0.0,"안녕하세요 김진성 고객님. 앱 이용 시 불편을 드린 것 같아 마음이 무겁습니다. 다만, 말씀해주신 내용만으로는 정확한 확인이 어려워 안타까운 마음입니다. 소중한 고객님의 불편사항을 정확히 확인하고 도울 수 있도록 번거로우시겠지만 1:1문의함 혹은 고객센터(1670-4777)로 알려주시면 빠르게 확인하겠습니다. 고객님께서 느끼신 불편함을 세심히 살펴, 보다 쉽고 편리하게 이용하실 수 있도록 개선하겠습니다. 앞으로는 “편하다”는 말이 먼저 나올 수 있는 KB차차차가 되도록 노력하겠습니다.",kr.co.kbc.cha.android,
Android,CHAN SU KIm,4,,감사합니다.,2025-10-05 22:08:08,0.0,"안녕하세요 CHAN SU Kim 고객님. 소중한 리뷰 남겨주셔서 진심으로 감사드립니다 :)
KB차차차 서비스를 이용해주시고 좋은 말씀 전해주셔서 큰 힘이 됩니다.
앞으로도 고객님께 더욱 편리하고 만족스러운 경험을 드릴 수 있도록 노력하겠습니다. 감사합니다! 🚗💙",kr.co.kbc.cha.android,
Android,Heesun Kim,1,,가입하고 등록은 쉬운데 관리하고 삭제 어려움 개인정보 보호도 신뢰가 안갑니다,2025-10-05 12:26:47,1.0,"안녕하세요 Heesun Kim고객님. 관리와 삭제 과정에서 불편을 느끼셨다는 말씀에 죄송한 마음입니다. 직거래 차차차, 광고 등록 등 이용하신 서비스의 세부 사항을 1:1 문의함을 통해 상세히 등록해 주시거나, 고객센터(1670-4777)를 통해 접수해주시면 빠르게 확인하여 개선할 수 있도록 조치하겠습니다. 또한, KB차차차는 매년 정보보호 및 개인정보보호 관리체계 인증(ISMS-P)을 취득하여 고객님께서 안심하고 차차차를 이용하실 수 있도록 노력하고 있습니다. 서비스 이용에 만족을 드리지 못한 점 사과드리며, 보다 나은 서비스로 소비자 중심 경영을 실현하는 KB차차차가 되도록 꾸준히 개선해 나가겠습니다. 감사합니다.",kr.co.kbc.cha.android,5.4.2
